passenger_id,trajectory_type,trajectory_time,trajectory_platform
49776,Arrival,22380,116_3_1
49776,Boarding,22380,116_3_1
49776,Exit,23100,208_3_1
49777,Arrival,22380,116_3_1
49777,Boarding,22380,116_3_1
49777,Exit,23100,208_3_1
218873,Arrival,22440,921_4_1
218873,Boarding,22440,921_4_1
218873,Exit,23100,305_4_1
37631,Arrival,22080,111_1_1
37631,Boarding,22080,111_1_1
37631,Transfer,22500,108_4_1
37631,Boarding,22980,108_4_1
37631,Exit,23100,305_4_1
37629,Arrival,22080,111_1_1
37629,Boarding,22080,111_1_1
37629,Transfer,22500,108_4_1
37629,Boarding,22980,108_4_1
37629,Exit,23100,305_4_1
30793,Arrival,22200,110_1_1
30793,Boarding,22200,110_1_1
30793,Transfer,22500,108_4_1
30793,Boarding,22980,108_4_1
30793,Exit,23100,305_4_1
137662,Arrival,22110,219_2_1
137662,Boarding,22110,219_2_1
137662,Exit,23130,213_2_1
130831,Arrival,22650,216_2_1
130831,Boarding,22650,216_2_1
130831,Exit,23130,213_2_1
124126,Arrival,22950,214_2_1
124126,Boarding,22950,214_2_1
124126,Exit,23130,213_2_1
124125,Arrival,22950,214_2_1
124125,Boarding,22950,214_2_1
124125,Exit,23130,213_2_1
55445,Arrival,22200,119_1_0
55445,Boarding,22200,119_1_0
55445,Exit,23160,125_1_0
193257,Arrival,22380,909_4_0
193257,Boarding,22380,909_4_0
193257,Exit,23160,913_4_0
141162,Arrival,21960,303_3_1
141162,Boarding,21960,303_3_1
141162,Transfer,22320,105_1_1
141162,Boarding,22530,105_1_1
141162,Exit,23190,101_1_1
6625,Arrival,22890,103_1_1
6625,Boarding,22890,103_1_1
6625,Exit,23190,101_1_1
155058,Arrival,22350,310_3_1
155058,Boarding,22350,310_3_1
155058,Transfer,23070,305_4_0
155058,Boarding,23100,305_4_0
155058,Exit,23220,108_4_0
19279,Arrival,21900,105_1_0
19279,Boarding,21900,105_1_0
19279,Transfer,22320,108_4_0
19279,Boarding,22680,108_4_0
19279,Exit,23220,921_4_0
213828,Arrival,22980,919_4_0
213828,Boarding,22980,919_4_0
213828,Exit,23220,921_4_0
247343,Arrival,21840,928_4_1
247343,Boarding,21840,928_4_1
247343,Exit,23220,919_4_1
154892,Arrival,21900,310_3_1
154892,Boarding,21900,310_3_1
154892,Exit,23220,105_3_1
141505,Arrival,22860,303_3_1
141505,Boarding,22860,303_3_1
141505,Exit,23220,105_3_1
199945,Arrival,22500,913_4_1
199945,Boarding,22500,913_4_1
199945,Exit,23220,909_4_1
156884,Arrival,21900,310_3_1
156884,Boarding,21900,310_3_1
156884,Transfer,22200,208_2_1
156884,Boarding,22560,208_2_1
156884,Exit,23220,204_2_1
234622,Arrival,22740,925_4_0
234622,Boarding,22740,925_4_0
234622,Exit,23220,928_4_0
179562,Arrival,22560,325_3_0
179562,Boarding,22560,325_3_0
179562,Exit,23220,329_3_0
27038,Arrival,22200,110_1_1
27038,Boarding,22200,110_1_1
27038,Exit,23280,103_1_1
27037,Arrival,22200,110_1_1
27037,Boarding,22200,110_1_1
27037,Exit,23280,103_1_1
221706,Arrival,21780,922_4_1
221706,Boarding,21780,922_4_1
221706,Transfer,22440,108_1_1
221706,Boarding,22500,108_1_1
221706,Exit,23280,103_1_1
214915,Arrival,21900,921_4_1
214915,Boarding,21900,921_4_1
214915,Transfer,22440,108_1_1
214915,Boarding,22500,108_1_1
214915,Exit,23280,103_1_1
208213,Arrival,22140,919_4_1
208213,Boarding,22140,919_4_1
208213,Transfer,22440,108_1_1
208213,Boarding,22500,108_1_1
208213,Exit,23280,103_1_1
141351,Arrival,22410,303_3_1
141351,Boarding,22410,303_3_1
141351,Transfer,22770,105_1_1
141351,Boarding,22920,105_1_1
141351,Exit,23280,103_1_1
141352,Arrival,22410,303_3_1
141352,Boarding,22410,303_3_1
141352,Transfer,22770,105_1_1
141352,Boarding,22920,105_1_1
141352,Exit,23280,103_1_1
13649,Arrival,22920,105_1_1
13649,Boarding,22920,105_1_1
13649,Exit,23280,103_1_1
128214,Arrival,21750,216_2_1
128214,Boarding,21750,216_2_1
128214,Transfer,22350,113_1_1
128214,Boarding,22620,113_1_1
128214,Exit,23280,108_1_1
114868,Arrival,22230,213_2_1
114868,Boarding,22230,213_2_1
114868,Transfer,22350,113_1_1
114868,Boarding,22620,113_1_1
114868,Exit,23280,108_1_1
108129,Arrival,22380,210_2_0
108129,Boarding,22380,210_2_0
108129,Transfer,22680,113_1_1
108129,Boarding,22620,113_1_1
108129,Exit,23280,108_1_1
50517,Arrival,22260,116_1_1
50517,Boarding,22260,116_1_1
50517,Transfer,22620,113_2_0
50517,Boarding,22680,113_2_0
50517,Exit,23280,216_2_0
83503,Arrival,21660,202_2_0
83503,Boarding,21660,202_2_0
83503,Exit,23280,210_2_0
90164,Arrival,22260,204_2_0
90164,Boarding,22260,204_2_0
90164,Exit,23280,210_2_0
157407,Arrival,22350,310_3_1
157407,Boarding,22350,310_3_1
157407,Transfer,22650,208_2_0
157407,Boarding,22920,208_2_0
157407,Exit,23280,210_2_0
186223,Arrival,22560,329_3_1
186223,Boarding,22560,329_3_1
186223,Exit,23280,325_3_1
227609,Arrival,22800,922_4_0
227609,Boarding,22800,922_4_0
227609,Exit,23280,925_4_0
91085,Arrival,21810,204_2_0
91085,Boarding,21810,204_2_0
91085,Transfer,22470,208_3_1
91085,Boarding,22650,208_3_1
91085,Exit,23310,303_3_1
238775,Arrival,21660,926_4_1
238775,Boarding,21660,926_4_1
238775,Transfer,23100,305_3_1
238775,Boarding,23070,305_3_1
238775,Exit,23310,303_3_1
211880,Arrival,22680,919_4_1
211880,Boarding,22680,919_4_1
211880,Transfer,23100,305_3_1
211880,Boarding,23070,305_3_1
211880,Exit,23310,303_3_1
211881,Arrival,22680,919_4_1
211881,Boarding,22680,919_4_1
211881,Transfer,23100,305_3_1
211881,Boarding,23070,305_3_1
211881,Exit,23310,303_3_1
37231,Arrival,21960,111_1_0
37231,Boarding,21960,111_1_0
37231,Transfer,22200,113_2_0
37231,Boarding,22230,113_2_0
37231,Exit,23310,219_2_0
114665,Arrival,21780,213_2_1
114665,Boarding,21780,213_2_1
114665,Transfer,21900,113_1_1
114665,Boarding,22230,113_1_1
114665,Exit,23310,105_1_1
20554,Arrival,22890,108_1_1
