platform_id,timestamp,queue_length,queue_length_type,train_id
305_3_0,22710,9,When Arrival,3_0_10
101_1_0,22740,12,Before Onboard,1_0_13
101_1_0,22740,0,After Onboard,1_0_13
213_2_0,22740,0,When Arrival,2_0_7
918_4_1,22740,0,When Arrival,4_1_7
128_1_1,22740,9,Before Onboard,1_1_13
128_1_1,22740,0,After Onboard,1_1_13
310_3_1,22740,0,When Arrival,3_1_5
316_3_1,22740,0,When Arrival,3_1_7
113_2_1,22740,1,When Arrival,2_1_9
926_4_1,22740,14,Before Onboard,4_1_9
926_4_1,22740,0,After Onboard,4_1_9
925_4_0,22740,15,Before Onboard,4_0_5
925_4_0,22740,0,After Onboard,4_0_5
922_4_0,22740,0,When Arrival,4_0_6
128_1_0,22740,0,When Arrival,1_0_3
208_3_0,22740,7,Before Onboard,3_0_9
208_3_0,22740,0,After Onboard,3_0_9
101_1_1,22740,0,When Arrival,1_1_3
111_1_0,22740,12,Before Onboard,1_0_9
111_1_0,22740,0,After Onboard,1_0_9
329_3_0,22770,8,Before Onboard,3_0_2
329_3_0,22770,0,After Onboard,3_0_2
125_1_0,22770,8,Before Onboard,1_0_4
125_1_0,22770,0,After Onboard,1_0_4
305_3_0,22770,13,Before Onboard,3_0_10
305_3_0,22770,0,After Onboard,3_0_10
325_3_1,22770,0,When Arrival,3_1_10
105_3_1,22770,7,Before Onboard,3_1_2
105_3_1,22770,0,After Onboard,3_1_2
204_2_1,22770,0,Before Onboard,2_1_6
204_2_1,22770,0,After Onboard,2_1_6
216_2_0,22770,0,When Arrival,2_0_6
125_1_1,22770,0,When Arrival,1_1_12
210_2_0,22770,0,When Arrival,2_0_8
116_3_1,22770,1,When Arrival,3_1_6
213_2_0,22800,6,Before Onboard,2_0_7
213_2_0,22800,0,After Onboard,2_0_7
922_4_1,22800,0,When Arrival,4_1_8
219_2_0,22800,0,When Arrival,2_0_5
303_3_1,22800,0,When Arrival,3_1_3
922_4_0,22800,18,Before Onboard,4_0_6
922_4_0,22800,0,After Onboard,4_0_6
316_3_1,22800,9,Before Onboard,3_1_7
316_3_1,22800,0,After Onboard,3_1_7
113_2_1,22800,3,Before Onboard,2_1_9
113_2_1,22800,0,After Onboard,2_1_9
310_3_1,22800,7,Before Onboard,3_1_5
