passenger_id,trajectory_type,trajectory_time,trajectory_platform
207141,Exit,23880,921_4_1
200689,Boarding,22920,913_4_0
200689,Exit,23880,922_4_0
153758,Boarding,23400,305_4_0
153758,Exit,23880,922_4_0
220780,Boarding,23760,921_4_0
220780,Exit,23880,922_4_0
145419,Boarding,23430,303_3_0
145419,Exit,23910,316_3_0
145420,Boarding,23430,303_3_0
145420,Exit,23910,316_3_0
158609,Boarding,23490,310_3_1
158609,Exit,23910,305_3_1
567,Boarding,22710,101_1_1
567,Exit,23910,110_1_1
570,Boarding,22710,101_1_1
570,Exit,23910,110_1_1
7175,Boarding,23070,103_1_1
7175,Exit,23910,110_1_1
109791,Boarding,23370,210_2_1
109791,Exit,23910,202_2_1
188608,Boarding,23760,909_4_1
188608,Exit,23940,108_4_1
89974,Boarding,23280,204_2_0
89974,Exit,23940,208_2_0
96592,Boarding,23580,206_2_0
96592,Exit,23940,208_2_0
28533,Boarding,21840,110_1_0
28533,Exit,23940,125_1_0
48907,Boarding,22560,116_1_0
48907,Exit,23940,125_1_0
55448,Boarding,22980,119_1_0
55448,Exit,23940,125_1_0
198848,Boarding,23460,913_4_0
198848,Exit,23940,305_4_0
155781,Boarding,22860,310_3_0
155781,Exit,23940,116_3_0
196048,Boarding,22380,913_4_0
196048,Transfer,22860,305_4_0
196048,Boarding,23100,305_3_0
196048,Exit,23940,116_3_0
88717,Boarding,22830,204_2_0
88717,Transfer,23490,208_2_0
88717,Boarding,23520,208_3_0
88717,Exit,23940,116_3_0
88718,Boarding,22830,204_2_0
88718,Transfer,23490,208_2_0
88718,Boarding,23520,208_3_0
88718,Exit,23940,116_3_0
95311,Boarding,23130,206_2_0
95311,Transfer,23490,208_2_0
95311,Boarding,23520,208_3_0
95311,Exit,23940,116_3_0
35316,Boarding,21810,111_1_1
35316,Exit,23970,125_1_1
197518,Boarding,22920,913_4_0
197518,Transfer,23400,305_4_0
197518,Boarding,23550,305_3_0
197518,Exit,23970,208_3_0
194178,Boarding,22680,909_4_1
194178,Exit,24000,925_4_1
214220,Boarding,23220,919_4_1
214220,Exit,24000,925_4_1
158611,Boarding,23760,310_3_0
158611,Exit,24000,305_3_0
89799,Boarding,23730,204_2_0
89799,Exit,24030,206_2_0
43111,Boarding,22110,113_2_1
43111,Exit,24030,208_2_1
110345,Boarding,22470,210_2_1
110345,Exit,24030,208_2_1
110346,Boarding,22470,210_2_1
110346,Exit,24030,208_2_1
110343,Boarding,22470,210_2_1
110343,Exit,24030,208_2_1
19088,Boarding,21900,105_1_0
19088,Transfer,22320,108_1_0
19088,Boarding,22380,108_4_0
19088,Exit,24060,919_4_0
158422,Boarding,23040,310_3_1
158422,Exit,24060,303_3_1
198640,Boarding,22920,913_4_0
198640,Transfer,23400,305_4_0
198640,Boarding,23460,305_3_1
198640,Exit,24060,303_3_1
907,Boarding,22320,101_1_1
907,Exit,24120,113_1_1
27945,Boarding,23400,110_1_0
27945,Exit,24120,116_1_0
83132,Boarding,23460,202_2_1
83132,Exit,24120,206_2_1
83133,Boarding,23460,202_2_1
83133,Exit,24120,206_2_1
153059,Boarding,23640,305_4_1
153059,Exit,24120,913_4_1
155971,Boarding,22410,310_3_0
155971,Transfer,23490,116_3_0
155971,Boarding,23730,116_1_0
155971,Exit,24150,119_1_0
149402,Boarding,22650,305_3_0
149402,Transfer,23490,116_3_0
149402,Boarding,23730,116_1_0
149402,Exit,24150,119_1_0
95502,Boarding,22680,206_2_0
95502,Transfer,23040,208_2_0
95502,Boarding,23070,208_3_0
95502,Transfer,23490,116_3_0
95502,Boarding,23730,116_1_0
95502,Exit,24150,119_1_0
108695,Boarding,22470,210_2_1
108695,Exit,24150,113_2_1
20940,Boarding,23790,108_1_1
20940,Exit,24150,111_1_1
7725,Boarding,22290,103_1_1
7725,Exit,24150,116_1_1
115435,Boarding,22290,213_2_0
115435,Exit,24150,113_2_0
115433,Boarding,22290,213_2_0
115433,Exit,24150,113_2_0
95123,Boarding,23130,206_2_0
95123,Exit,24150,113_2_0
97350,Boarding,22680,206_2_0
97350,Exit,24180,216_2_0
397,Boarding,23100,101_1_1
397,Exit,24180,108_1_1
6990,Boarding,23460,103_1_1
6990,Exit,24180,108_1_1
90893,Boarding,21930,204_2_0
90893,Exit,24210,219_2_0
90895,Boarding,21930,204_2_0
90895,Exit,24210,219_2_0
17805,Boarding,22470,105_3_1
17805,Exit,24210,316_3_1
105090,Boarding,23010,208_3_1
105090,Exit,24210,316_3_1
91795,Boarding,22380,204_2_0
91795,Transfer,23040,208_2_0
91795,Boarding,23070,208_3_0
91795,Exit,24210,321_3_0
17983,Boarding,21900,105_1_0
17983,Transfer,23340,116_1_0
17983,Boarding,23490,116_3_0
17983,Exit,24210,321_3_0
97352,Boarding,22770,206_2_1
97352,Exit,24210,216_2_1
14998,Boarding,21900,105_1_0
14998,Exit,24240,122_1_0
95672,Boarding,22230,206_2_0
95672,Transfer,22590,208_2_0
95672,Boarding,22620,208_3_0
95672,Transfer,23040,116_3_0
95672,Boarding,23340,116_1_0
95672,Exit,24240,122_1_0
55265,Boarding,23760,119_1_0
55265,Exit,24240,122_1_0
55267,Boarding,23760,119_1_0
55267,Exit,24240,122_1_0
7916,Boarding,21900,103_1_1
7916,Exit,24240,119_1_1
21512,Boarding,22620,108_1_1
21512,Exit,24240,119_1_1
34958,Boarding,22980,111_1_1
34958,Exit,24240,119_1_1
34957,Boarding,22980,111_1_1
34957,Exit,24240,119_1_1
148263,Boarding,23910,305_3_1
148263,Exit,24270,105_3_1
148261,Boarding,23910,305_3_1
148261,Exit,24270,105_3_1
194361,Boarding,22680,909_4_1
194361,Exit,24300,926_4_1
221173,Boarding,23340,921_4_1
221173,Exit,24300,926_4_1
227793,Boarding,23820,922_4_1
227793,Exit,24300,926_4_1
160986,Boarding,22140,310_3_1
160986,Transfer,22560,305_3_1
160986,Boarding,22860,305_4_0
160986,Exit,24300,928_4_0
214563,Boarding,22980,919_4_0
214563,Exit,24300,928_4_0
234624,Boarding,23820,925_4_0
234624,Exit,24300,928_4_0
19279,Boarding,21900,105_1_0
19279,Transfer,22320,108_1_0
19279,Boarding,22380,108_4_0
19279,Exit,24300,921_4_0
200510,Boarding,23460,913_4_0
200510,Exit,24300,921_4_0
160245,Boarding,23040,310_3_1
160245,Transfer,23460,305_3_1
160245,Boarding,23940,305_4_0
160245,Exit,24300,921_4_0
146940,Boarding,22530,303_3_0
146940,Transfer,23550,305_3_0
146940,Boarding,23940,305_4_0
146940,Exit,24300,921_4_0
14051,Boarding,23880,105_1_1
14051,Exit,24300,110_1_1
28534,Boarding,22230,110_1_0
28534,Exit,24330,125_1_0
28535,Boarding,22230,110_1_0
28535,Exit,24330,125_1_0
35317,Boarding,22350,111_1_0
35317,Exit,24330,125_1_0
55449,Boarding,23370,119_1_0
55449,Exit,24330,125_1_0
90534,Boarding,22830,204_2_0
90534,Exit,24330,214_2_0
83715,Boarding,23010,202_2_1
83715,Exit,24330,213_2_1
26305,Boarding,22200,108_4_0
26305,Exit,24360,925_4_0
26304,Boarding,22200,108_4_0
26304,Exit,24360,925_4_0
200871,Boarding,22920,913_4_0
200871,Exit,24360,925_4_0
200870,Boarding,22920,913_4_0
200870,Exit,24360,925_4_0
153963,Boarding,23400,305_4_0
153963,Exit,24360,925_4_0
153964,Boarding,23400,305_4_0
153964,Exit,24360,925_4_0
28536,Boarding,21960,110_1_1
28536,Exit,24360,125_1_1
35318,Boarding,22200,111_1_1
35318,Exit,24360,125_1_1
153757,Boarding,22020,305_4_1
153757,Exit,24360,922_4_1
194014,Boarding,23220,909_4_1
194014,Exit,24360,922_4_1
207311,Boarding,23520,918_4_1
207311,Exit,24360,922_4_1
91960,Boarding,21930,204_2_0
91960,Transfer,22590,208_2_0
91960,Boarding,22620,208_3_0
91960,Exit,24360,325_3_0
109793,Boarding,23820,210_2_1
109793,Exit,24360,202_2_1
143950,Boarding,24060,303_3_1
143950,Exit,24360,208_3_1
165755,Boarding,23760,316_3_1
165755,Exit,24360,321_3_1
49070,Boarding,22560,116_1_0
49070,Exit,24360,128_1_0
142451,Boarding,22530,303_3_0
142451,Exit,24390,116_3_0
155780,Boarding,23310,310_3_0
155780,Exit,24390,116_3_0
88716,Boarding,23280,204_2_0
88716,Transfer,23940,208_2_0
88716,Boarding,23970,208_3_0
88716,Exit,24390,116_3_0
142457,Boarding,23610,303_3_1
142457,Exit,24390,116_3_1
96593,Boarding,24030,206_2_0
96593,Exit,24390,208_2_0
213829,Boarding,24300,919_4_1
213829,Exit,24420,921_4_1
16146,Boarding,22560,105_3_0
16146,Exit,24420,208_3_0
214010,Boarding,24060,919_4_0
214010,Exit,24420,922_4_0
158610,Boarding,24210,310_3_0
158610,Exit,24450,305_3_0
188607,Boarding,24300,909_4_1
188607,Exit,24480,108_4_1
83311,Boarding,23460,202_2_1
83311,Exit,24480,208_2_1
21137,Boarding,23790,108_1_1
21137,Exit,24510,113_1_1
27767,Boarding,23910,110_1_1
27767,Exit,24510,113_1_1
34591,Boarding,24150,111_1_1
34591,Exit,24510,113_1_1
207671,Boarding,22080,918_4_0
207671,Exit,24540,926_4_0
147511,Boarding,22080,303_3_0
147511,Transfer,23100,305_3_0
147511,Boarding,23400,305_4_0
147511,Exit,24540,926_4_0
207473,Boarding,23520,918_4_1
207473,Exit,24540,925_4_1
27766,Boarding,24180,110_1_0
27766,Exit,24540,113_1_0
14836,Boarding,22680,105_1_0
14836,Exit,24540,119_1_0
28127,Boarding,23400,110_1_0
28127,Exit,24540,119_1_0
88912,Boarding,22830,204_2_0
88912,Transfer,23490,208_2_0
88912,Boarding,23520,208_3_0
88912,Transfer,23940,116_3_0
88912,Boarding,24120,116_1_0
88912,Exit,24540,119_1_0
738,Boarding,23100,101_1_1
738,Exit,24540,111_1_1
7353,Boarding,23460,103_1_1
7353,Exit,24540,111_1_1
27593,Boarding,24300,110_1_1
27593,Exit,24540,111_1_1
110148,Boarding,23370,210_2_1
110148,Exit,24570,206_2_1
145822,Boarding,21810,303_3_1
145822,Exit,24570,325_3_1
105485,Boarding,22110,208_3_1
105485,Exit,24570,325_3_1
165941,Boarding,23310,316_3_1
165941,Exit,24570,325_3_1
396,Boarding,23490,101_1_1
396,Exit,24570,108_1_1
200332,Boarding,24000,913_4_0
200332,Exit,24600,919_4_0
200330,Boarding,24000,913_4_0
200330,Exit,24600,919_4_0
108696,Boarding,22920,210_2_1
108696,Exit,24600,113_2_1
81886,Boarding,23460,202_2_1
81886,Exit,24600,113_2_1
89082,Boarding,22380,204_2_0
89082,Transfer,23040,208_2_0
89082,Boarding,23070,208_3_0
89082,Transfer,23490,116_3_0
89082,Boarding,23730,116_1_0
89082,Exit,24630,122_1_0
55266,Boarding,24150,119_1_0
55266,Exit,24630,122_1_0
21,Boarding,24270,101_1_1
21,Exit,24630,103_1_1
1295,Boarding,21930,101_1_1
1295,Exit,24630,119_1_1
