passenger_id,boarding_platform,left_behind_times
226859,922_4_1,0
221533,922_4_1,0
224346,922_4_1,0
222484,922_4_1,0
225436,922_4_1,0
222095,922_4_1,0
223427,922_4_1,0
222824,922_4_1,0
224524,922_4_1,0
221898,922_4_1,0
225437,922_4_1,0
227433,922_4_1,0
226175,922_4_1,0
223796,922_4_1,0
225792,922_4_1,0
234441,925_4_0,0
233720,925_4_0,0
232803,925_4_0,0
230576,925_4_0,0
228364,925_4_0,0
232253,925_4_0,0
230575,925_4_0,0
230947,925_4_0,0
231869,925_4_0,0
234620,925_4_0,0
234619,925_4_0,0
233721,925_4_0,0
229070,925_4_0,0
232049,925_4_0,0
26675,108_4_0,0
25390,108_4_0,0
20939,108_4_0,0
26674,108_4_0,0
24657,108_4_0,0
21695,108_4_0,0
22243,108_4_0,0
26305,108_4_0,0
26676,108_4_0,0
21134,108_4_0,0
26304,108_4_0,0
25208,108_4_0,0
22426,108_4_0,0
22049,108_4_0,0
22777,305_3_0,0
150506,305_3_0,0
148259,305_3_0,0
152881,305_3_0,0
151061,305_3_0,0
58269,119_1_0,0
53856,119_1_0,0
58270,119_1_0,0
58619,119_1_0,0
55264,119_1_0,0
55620,119_1_0,0
57691,119_1_0,0
59011,119_1_0,0
58074,119_1_0,0
55445,119_1_0,0
60380,119_1_0,0
56170,119_1_0,0
57290,119_1_0,0
56938,119_1_0,0
59227,119_1_0,0
26505,108_1_1,0
100148,206_2_0,0
99580,206_2_0,0
100149,206_2_0,0
98305,206_2_0,0
99225,206_2_0,0
96757,206_2_0,0
95672,206_2_0,0
99224,206_2_0,0
99968,206_2_0,0
97941,206_2_0,0
98111,206_2_0,0
99223,206_2_0,0
103206,208_2_1,0
27038,110_1_0,0
30236,110_1_0,0
30793,110_1_0,0
27037,110_1_0,0
30023,110_1_0,0
28740,110_1_0,0
30413,110_1_0,0
27765,110_1_0,0
29851,110_1_0,0
27232,110_1_0,0
27943,110_1_0,0
27419,110_1_0,0
28534,110_1_0,0
28535,110_1_0,0
224877,922_4_0,0
226486,922_4_0,0
227051,922_4_0,0
222668,922_4_0,0
220597,921_4_1,0
218873,921_4_1,0
220962,921_4_1,0
216565,921_4_1,0
217870,921_4_1,0
220419,921_4_1,0
143948,303_3_1,0
