train_id,timestamp,train_load_type,train_load,platform_id
4_1_13,25860,Arrival,114,919_4_1
1_0_11,25860,Arrival,113,128_1_0
3_1_9,25860,Arrival,105,105_3_1
3_0_17,25860,Arrival,26,305_3_0
2_1_13,25860,Arrival,143,204_2_1
2_0_14,25890,Arrival,78,213_2_0
2_1_16,25890,Arrival,202,113_2_1
1_0_12,25890,Departure,158,125_1_0
3_0_16,25890,Departure,71,208_3_0
3_1_14,25890,Arrival,29,316_3_1
3_1_12,25890,Arrival,44,310_3_1
1_1_20,25890,Arrival,72,125_1_1
1_0_11,25920,Departure,142,128_1_0
2_1_13,25920,Departure,148,204_2_1
2_0_15,25920,Arrival,41,210_2_0
1_1_11,25920,Departure,108,101_1_1
4_0_10,25920,Departure,206,928_4_0
4_0_11,25920,Arrival,173,925_4_0
3_0_9,25920,Departure,107,329_3_0
2_0_13,25920,Arrival,68,216_2_0
1_1_15,25920,Arrival,87,111_1_1
3_1_9,25920,Departure,117,105_3_1
4_1_10,25920,Departure,107,909_4_1
3_0_17,25920,Departure,89,305_3_0
4_1_13,25920,Departure,173,919_4_1
3_1_17,25920,Arrival,18,325_3_1
4_1_15,25920,Arrival,65,926_4_1
3_1_13,25920,Arrival,78,116_3_1
4_0_13,25920,Departure,61,108_4_0
4_0_12,25920,Departure,204,921_4_0
1_1_20,25950,Departure,85,125_1_1
1_0_22,25950,Departure,6,101_1_0
3_1_14,25950,Departure,79,316_3_1
2_1_16,25950,Departure,70,113_2_1
2_1_12,25950,Arrival,40,202_2_1
3_1_12,25950,Departure,93,310_3_1
1_1_12,25950,Arrival,81,103_1_1
3_0_12,25950,Arrival,76,321_3_0
2_0_14,25950,Departure,102,213_2_0
3_1_10,25950,Arrival,105,303_3_1
2_0_12,25950,Arrival,80,219_2_0
1_1_14,25950,Arrival,150,108_1_1
1_1_22,25950,Departure,13,128_1_1
1_1_15,25980,Departure,102,111_1_1
4_1_15,25980,Departure,135,926_4_1
3_1_13,25980,Departure,87,116_3_1
3_1_17,25980,Departure,79,325_3_1
2_0_13,25980,Departure,97,216_2_0
1_1_13,25980,Arrival,102,105_1_1
4_0_11,25980,Departure,252,925_4_0
1_1_19,25980,Arrival,29,122_1_1
4_1_13,25980,Arrival,173,918_4_1
4_0_12,25980,Arrival,204,922_4_0
2_0_15,25980,Departure,77,210_2_0
2_0_16,26010,Arrival,113,208_2_0
2_1_14,26010,Arrival,89,206_2_1
2_1_12,26010,Departure,108,202_2_1
1_1_12,26010,Departure,119,103_1_1
2_0_12,26010,Departure,147,219_2_0
3_0_12,26010,Departure,151,321_3_0
3_1_10,26010,Departure,173,303_3_1
1_1_14,26010,Departure,124,108_1_1
1_0_16,26010,Arrival,121,116_1_0
2_1_17,26040,Arrival,82,214_2_1
4_1_13,26040,Departure,271,918_4_1
4_0_13,26040,Arrival,61,918_4_0
4_1_14,26040,Arrival,100,922_4_1
1_1_19,26040,Departure,80,122_1_1
1_0_17,26040,Arrival,144,113_1_0
1_1_15,26040,Arrival,102,110_1_1
1_1_13,26040,Departure,134,105_1_1
4_0_12,26040,Departure,334,922_4_0
1_0_15,26040,Arrival,87,119_1_0
3_1_16,26070,Arrival,82,321_3_1
1_0_16,26070,Departure,123,116_1_0
1_1_16,26070,Arrival,61,113_1_1
1_0_18,26070,Arrival,148,110_1_0
1_1_18,26070,Arrival,70,119_1_1
3_0_18,26070,Arrival,14,303_3_0
2_0_16,26070,Departure,84,208_2_0
2_1_14,26070,Departure,163,206_2_1
2_0_14,26070,Arrival,102,214_2_0
3_0_15,26100,Arrival,96,116_3_0
1_0_15,26100,Departure,176,119_1_0
1_0_23,26100,Departure,41,101_1_0
1_1_23,26100,Departure,39,128_1_1
4_0_13,26100,Departure,58,918_4_0
2_0_17,26100,Arrival,99,206_2_0
1_0_21,26100,Arrival,66,103_1_0
1_1_15,26100,Departure,189,110_1_1
2_1_15,26100,Arrival,98,208_2_1
