event_id,line_id,direction_id,train_id,station_id,platform_id,event_timestamp,event_type
187,1,0,1_0_8,122,122_1_0,23790,Arrival
188,1,0,1_0_8,122,122_1_0,23850,Departure
189,1,0,1_0_8,125,125_1_0,24270,Arrival
190,1,0,1_0_8,125,125_1_0,24330,Departure
191,1,0,1_0_8,128,128_1_0,24690,Arrival
192,1,0,1_0_8,128,128_1_0,24750,Departure
193,1,0,1_0_9,101,101_1_0,21120,Arrival
194,1,0,1_0_9,101,101_1_0,21180,Departure
195,1,0,1_0_9,103,103_1_0,21480,Arrival
196,1,0,1_0_9,103,103_1_0,21540,Departure
197,1,0,1_0_9,105,105_1_0,21840,Arrival
198,1,0,1_0_9,105,105_1_0,21900,Departure
199,1,0,1_0_9,108,108_1_0,22260,Arrival
200,1,0,1_0_9,108,108_1_0,22320,Departure
201,1,0,1_0_9,110,110_1_0,22560,Arrival
202,1,0,1_0_9,110,110_1_0,22620,Departure
203,1,0,1_0_9,111,111_1_0,22680,Arrival
204,1,0,1_0_9,111,111_1_0,22740,Departure
205,1,0,1_0_9,113,113_1_0,22920,Arrival
206,1,0,1_0_9,113,113_1_0,22980,Departure
207,1,0,1_0_9,116,116_1_0,23280,Arrival
208,1,0,1_0_9,116,116_1_0,23340,Departure
209,1,0,1_0_9,119,119_1_0,23700,Arrival
210,1,0,1_0_9,119,119_1_0,23760,Departure
211,1,0,1_0_9,122,122_1_0,24180,Arrival
212,1,0,1_0_9,122,122_1_0,24240,Departure
213,1,0,1_0_9,125,125_1_0,24660,Arrival
214,1,0,1_0_9,125,125_1_0,24720,Departure
215,1,0,1_0_9,128,128_1_0,25080,Arrival
216,1,0,1_0_9,128,128_1_0,25140,Departure
217,1,0,1_0_10,101,101_1_0,21510,Arrival
218,1,0,1_0_10,101,101_1_0,21570,Departure
219,1,0,1_0_10,103,103_1_0,21870,Arrival
220,1,0,1_0_10,103,103_1_0,21930,Departure
221,1,0,1_0_10,105,105_1_0,22230,Arrival
222,1,0,1_0_10,105,105_1_0,22290,Departure
223,1,0,1_0_10,108,108_1_0,22650,Arrival
224,1,0,1_0_10,108,108_1_0,22710,Departure
225,1,0,1_0_10,110,110_1_0,22950,Arrival
226,1,0,1_0_10,110,110_1_0,23010,Departure
227,1,0,1_0_10,111,111_1_0,23070,Arrival
228,1,0,1_0_10,111,111_1_0,23130,Departure
229,1,0,1_0_10,113,113_1_0,23310,Arrival
230,1,0,1_0_10,113,113_1_0,23370,Departure
231,1,0,1_0_10,116,116_1_0,23670,Arrival
232,1,0,1_0_10,116,116_1_0,23730,Departure
233,1,0,1_0_10,119,119_1_0,24090,Arrival
234,1,0,1_0_10,119,119_1_0,24150,Departure
235,1,0,1_0_10,122,122_1_0,24570,Arrival
236,1,0,1_0_10,122,122_1_0,24630,Departure
237,1,0,1_0_10,125,125_1_0,25050,Arrival
238,1,0,1_0_10,125,125_1_0,25110,Departure
239,1,0,1_0_10,128,128_1_0,25470,Arrival
240,1,0,1_0_10,128,128_1_0,25530,Departure
241,1,0,1_0_11,101,101_1_0,21900,Arrival
242,1,0,1_0_11,101,101_1_0,21960,Departure
243,1,0,1_0_11,103,103_1_0,22260,Arrival
244,1,0,1_0_11,103,103_1_0,22320,Departure
245,1,0,1_0_11,105,105_1_0,22620,Arrival
246,1,0,1_0_11,105,105_1_0,22680,Departure
247,1,0,1_0_11,108,108_1_0,23040,Arrival
248,1,0,1_0_11,108,108_1_0,23100,Departure
249,1,0,1_0_11,110,110_1_0,23340,Arrival
250,1,0,1_0_11,110,110_1_0,23400,Departure
251,1,0,1_0_11,111,111_1_0,23460,Arrival
252,1,0,1_0_11,111,111_1_0,23520,Departure
253,1,0,1_0_11,113,113_1_0,23700,Arrival
254,1,0,1_0_11,113,113_1_0,23760,Departure
255,1,0,1_0_11,116,116_1_0,24060,Arrival
256,1,0,1_0_11,116,116_1_0,24120,Departure
257,1,0,1_0_11,119,119_1_0,24480,Arrival
258,1,0,1_0_11,119,119_1_0,24540,Departure
259,1,0,1_0_11,122,122_1_0,24960,Arrival
260,1,0,1_0_11,122,122_1_0,25020,Departure
261,1,0,1_0_11,125,125_1_0,25440,Arrival
262,1,0,1_0_11,125,125_1_0,25500,Departure
263,1,0,1_0_11,128,128_1_0,25860,Arrival
264,1,0,1_0_11,128,128_1_0,25920,Departure
265,1,0,1_0_12,101,101_1_0,22290,Arrival
266,1,0,1_0_12,101,101_1_0,22350,Departure
267,1,0,1_0_12,103,103_1_0,22650,Arrival
268,1,0,1_0_12,103,103_1_0,22710,Departure
269,1,0,1_0_12,105,105_1_0,23010,Arrival
270,1,0,1_0_12,105,105_1_0,23070,Departure
271,1,0,1_0_12,108,108_1_0,23430,Arrival
272,1,0,1_0_12,108,108_1_0,23490,Departure
273,1,0,1_0_12,110,110_1_0,23730,Arrival
274,1,0,1_0_12,110,110_1_0,23790,Departure
275,1,0,1_0_12,111,111_1_0,23850,Arrival
276,1,0,1_0_12,111,111_1_0,23910,Departure
277,1,0,1_0_12,113,113_1_0,24090,Arrival
278,1,0,1_0_12,113,113_1_0,24150,Departure
279,1,0,1_0_12,116,116_1_0,24450,Arrival
280,1,0,1_0_12,116,116_1_0,24510,Departure
281,1,0,1_0_12,119,119_1_0,24870,Arrival
282,1,0,1_0_12,119,119_1_0,24930,Departure
283,1,0,1_0_12,122,122_1_0,25350,Arrival
284,1,0,1_0_12,122,122_1_0,25410,Departure
285,1,0,1_0_12,125,125_1_0,25830,Arrival
286,1,0,1_0_12,125,125_1_0,25890,Departure
287,1,0,1_0_12,128,128_1_0,26250,Arrival
288,1,0,1_0_12,128,128_1_0,26310,Departure
289,1,0,1_0_13,101,101_1_0,22680,Arrival
290,1,0,1_0_13,101,101_1_0,22740,Departure
291,1,0,1_0_13,103,103_1_0,23040,Arrival
292,1,0,1_0_13,103,103_1_0,23100,Departure
293,1,0,1_0_13,105,105_1_0,23400,Arrival
294,1,0,1_0_13,105,105_1_0,23460,Departure
295,1,0,1_0_13,108,108_1_0,23820,Arrival
296,1,0,1_0_13,108,108_1_0,23880,Departure
297,1,0,1_0_13,110,110_1_0,24120,Arrival
298,1,0,1_0_13,110,110_1_0,24180,Departure
299,1,0,1_0_13,111,111_1_0,24240,Arrival
300,1,0,1_0_13,111,111_1_0,24300,Departure
301,1,0,1_0_13,113,113_1_0,24480,Arrival
302,1,0,1_0_13,113,113_1_0,24540,Departure
303,1,0,1_0_13,116,116_1_0,24840,Arrival
304,1,0,1_0_13,116,116_1_0,24900,Departure
305,1,0,1_0_13,119,119_1_0,25260,Arrival
306,1,0,1_0_13,119,119_1_0,25320,Departure
307,1,0,1_0_13,122,122_1_0,25740,Arrival
308,1,0,1_0_13,122,122_1_0,25800,Departure
309,1,0,1_0_13,125,125_1_0,26220,Arrival
310,1,0,1_0_13,125,125_1_0,26280,Departure
311,1,0,1_0_13,128,128_1_0,26640,Arrival
312,1,0,1_0_13,128,128_1_0,26700,Departure
313,1,0,1_0_14,101,101_1_0,23070,Arrival
314,1,0,1_0_14,101,101_1_0,23130,Departure
315,1,0,1_0_14,103,103_1_0,23430,Arrival
316,1,0,1_0_14,103,103_1_0,23490,Departure
317,1,0,1_0_14,105,105_1_0,23790,Arrival
318,1,0,1_0_14,105,105_1_0,23850,Departure
319,1,0,1_0_14,108,108_1_0,24210,Arrival
320,1,0,1_0_14,108,108_1_0,24270,Departure
321,1,0,1_0_14,110,110_1_0,24510,Arrival
322,1,0,1_0_14,110,110_1_0,24570,Departure
323,1,0,1_0_14,111,111_1_0,24630,Arrival
324,1,0,1_0_14,111,111_1_0,24690,Departure
325,1,0,1_0_14,113,113_1_0,24870,Arrival
326,1,0,1_0_14,113,113_1_0,24930,Departure
327,1,0,1_0_14,116,116_1_0,25230,Arrival
328,1,0,1_0_14,116,116_1_0,25290,Departure
329,1,0,1_0_14,119,119_1_0,25650,Arrival
330,1,0,1_0_14,119,119_1_0,25710,Departure
331,1,0,1_0_14,122,122_1_0,26130,Arrival
332,1,0,1_0_14,122,122_1_0,26190,Departure
333,1,0,1_0_14,125,125_1_0,26610,Arrival
334,1,0,1_0_14,125,125_1_0,26670,Departure
335,1,0,1_0_14,128,128_1_0,27030,Arrival
336,1,0,1_0_14,128,128_1_0,27090,Departure
337,1,0,1_0_15,101,101_1_0,23460,Arrival
338,1,0,1_0_15,101,101_1_0,23520,Departure
339,1,0,1_0_15,103,103_1_0,23820,Arrival
340,1,0,1_0_15,103,103_1_0,23880,Departure
341,1,0,1_0_15,105,105_1_0,24180,Arrival
342,1,0,1_0_15,105,105_1_0,24240,Departure
343,1,0,1_0_15,108,108_1_0,24600,Arrival
344,1,0,1_0_15,108,108_1_0,24660,Departure
345,1,0,1_0_15,110,110_1_0,24900,Arrival
346,1,0,1_0_15,110,110_1_0,24960,Departure
347,1,0,1_0_15,111,111_1_0,25020,Arrival
348,1,0,1_0_15,111,111_1_0,25080,Departure
349,1,0,1_0_15,113,113_1_0,25260,Arrival
350,1,0,1_0_15,113,113_1_0,25320,Departure
351,1,0,1_0_15,116,116_1_0,25620,Arrival
352,1,0,1_0_15,116,116_1_0,25680,Departure
353,1,0,1_0_15,119,119_1_0,26040,Arrival
